remixid,artistid
OCR00766,4293
OCR00524,4360
OCR00003,4279
OCR01261,4516
OCR03019,4670
OCR02021,4793
OCR02460,11782
OCR01013,4511
OCR01852,4751
OCR01389,4560
OCR01018,4560
OCR01997,5420
OCR01997,5496
OCR01997,4729
OCR00926,4287
OCR02415,10222
OCR00670,4455
OCR01668,4765
OCR01497,4628
OCR01137,4440
OCR02598,10136
OCR00595,4306
OCR01786,4795
OCR00061,4279
OCR00285,14053
OCR01143,4540
OCR01494,4540
OCR01672,4661
OCR01467,4540
OCR01887,4795
OCR01023,4174
OCR00318,4338
OCR02077,9079
OCR02077,4313
OCR01853,5128
OCR00213,36
OCR00167,4382
OCR02601,5409
OCR02601,4726
OCR02601,4729
OCR02601,4655
OCR00703,4330
OCR01285,4640
OCR01285,4619
OCR01594,4619
OCR01198,4619
OCR01163,4593
OCR01502,4619
OCR01375,4593
OCR01412,4619
OCR01120,4593
OCR00429,4320
OCR01174,4516
OCR00553,4321
OCR02453,5409
OCR02453,11941
OCR00308,4384
OCR02454,5877
OCR01451,4637
OCR03501,4637
OCR02555,5877
OCR00738,4388
OCR00643,4447
OCR00643,4434
OCR02456,4651
OCR00460,4303
OCR00561,4357
OCR00173,4280
OCR02455,5406
OCR02455,10774
OCR00159,4322
OCR02566,5409
OCR02566,12540
OCR02662,11499
OCR00276,4299
OCR02452,10895
OCR02594,5409
OCR02594,8587
OCR00518,4283
OCR00542,4323
OCR02516,5409
OCR02516,5187
OCR00642,4434
OCR02451,11499
OCR00531,4324
OCR01339,4637
OCR03468,13056
OCR03468,15463
OCR01540,4486
OCR01597,4635
OCR01245,4635
OCR02074,4635
OCR01504,4635
OCR01303,4486
OCR01572,4486
OCR01012,4486
OCR01535,4635
OCR03149,10893
OCR03161,4685
OCR03159,11499
OCR03140,10221
OCR03160,12064
OCR03158,14387
OCR03146,10683
OCR03147,11499
OCR03151,5409
OCR03151,12540
OCR03151,12559
OCR03148,5315
OCR00675,4326
OCR03150,14388
OCR00995,4552
OCR00619,4402
OCR00925,4533
OCR01881,4574
OCR02034,4440
OCR00637,4434
OCR02139,9516
OCR00639,4434
OCR02906,12541
OCR00813,4467
OCR03112,4777
OCR03082,13046
OCR02114,4697
OCR02114,4549
OCR01892,4726
OCR01892,4729
OCR02071,6131
OCR02071,4664
OCR02071,4304
OCR02071,8359
OCR02071,6132
OCR01877,4723
OCR01875,4787
OCR01875,4729
OCR01875,5200
OCR02204,9076
OCR02012,4787
OCR01876,4440
OCR00545,4359
OCR00436,4324
OCR01879,4699
OCR01885,4697
OCR01885,5198
OCR01885,4749
OCR01885,5201
OCR02933,11932
OCR01994,4795
OCR00790,4323
OCR00991,4550
OCR02238,4440
OCR01199,4516
OCR02443,5198
